TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BE,9947782,9986975,10021997,10068319,10100631,10130574,10143047,10170226,10192264,10213752,10239085,10263414,10309725,10396421,10445852,10511382,10584534,10666866,10753080,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11631136
BG,8767308,8669269,8595465,8484863,8459763,8427418,8384715,8340936,8283200,8230371,8190876,8149468,7868815,7745147,7688573,7629371,7572673,7518002,7467119,7421766,7369431,7327224,7284552,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,6838937
CZ,10362102,10304607,10312548,10325697,10334013,10333161,10321344,10309137,10299125,10289621,10278098,10232027,10201182,10195347,10198855,10223577,10254233,10343422,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10701777,10516707
DK,5135409,5146469,5162126,5180614,5196642,5215718,5251027,5275121,5294860,5313577,5330020,5349212,5368354,5397640,5411405,5427459,5447084,5475791,5511451,5534738,5560628,5580516,5602628,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420
DE,62679035,79753227,80274564,80974632,81338093,81538603,81817499,82012162,82057379,82037011,82163475,82259540,82440309,82531671,82500849,82437995,82314906,82217837,82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124
EE,1570599,1567749,1554878,1511303,1476952,1448075,1425192,1405996,1393074,1379237,1401250,1392720,1383510,1366250,1358850,1350700,1342920,1338440,1335740,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1331796
IE,3506970,3520977,3547492,3569367,3583154,3597617,3620065,3654955,3693386,3732006,3777565,3832783,3899702,4028851,4111672,4208156,4340118,4457765,4521322,4549428,4570881,4589287,4609779,4637852,4677627,4726286,4784383,4830392,4904240,4964440,5006324,5060005
GR,10120892,10272691,10367163,10430958,10489871,10535973,10588332,10629267,10693250,10747768,10775627,10835989,10888274,10940369,10969912,11004716,11036008,11060937,11094745,11119289,11123392,11086406,11003615,10926807,10858018,10783748,10768193,10741165,10724599,10718565,10678632,10603810
ES,38853227,38881416,39051336,39264034,39458489,39639726,39808374,39971329,40143449,40303568,40470182,40665545,41035278,42547451,43296338,44009971,44784666,45668939,46239273,46486619,46667174,46818219,46727890,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,47432805
FR,,58313439,58604851,58885929,59104320,59315139,59522297,59726386,59934884,60158533,60545022,60979315,61424036,62292241,62772870,63229635,63645065,64007193,64350226,64658856,64978721,65276983,65600350,66165980,66458153,66638391,66809816,67026224,67177636,67320216,67656682,67842582
HR,4772556,4782179,4595865,4555771,4645155,4658893,4581167,4533028,4536812,4527460,4497735,4295406,4305494,4305725,4310861,4312487,4313530,4311967,4309796,4302847,4289857,4275984,4262140,4246809,4225316,4190669,4154213,4105493,4076246,4058165,4036355,3879074
IT,56694360,56744119,56772923,56821250,56842392,56844408,56844197,56876364,56904379,56909109,56923524,56960692,56987507,57495900,57874753,58064214,58223744,58652875,59000586,59190143,59364690,59394207,59685227,60782668,60795612,60665551,60589445,60483973,59816673,59641488,59236213,58983122
CY,572655,587141,603069,619231,632944,645399,656333,666313,675215,682862,690497,697549,705539,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236,875899,888005,896007,904705
LV,2668140,2658161,2643000,2585675,2540904,2500580,2469531,2444912,2420789,2399248,2381715,2353384,2320956,2276520,2249724,2227874,2208840,2191810,2162834,2120504,2074605,2044813,2023825,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1875757
LT,3693708,3701968,3706299,3693929,3671296,3642991,3615212,3588013,3562261,3536401,3512074,3486998,3454637,3398929,3355220,3289835,3249983,3212605,3183856,3141976,3052588,3003641,2971905,2943472,2921262,2888558,2847904,2808901,2794184,2794090,2795680,2805998
LU,379300,384400,389600,394750,400200,405650,411600,416850,422050,427350,433600,439000,444050,454960,461230,469086,476187,483799,493500,502066,511840,524853,537039,549680,562958,576249,590667,602005,613894,626108,634730,645397
HU,10374823,10373153,10373647,10365035,10350010,10336700,10321229,10301247,10279724,10253416,10221644,10200298,10174853,10116742,10097549,10076581,10066158,10045401,10030975,10014324,9985722,9931925,9908798,9877365,9855571,9830485,9797561,9778371,9772756,9769526,9730772,9689010
MT,352430,361908,365781,369455,373161,376433,378404,381405,384176,386397,388759,391415,394641,399867,402668,404999,405616,407832,410926,414027,414989,417546,422509,429424,439691,450415,460297,475701,493559,514564,516100,520971
NL,14892574,15010445,15129150,15239182,15341553,15424122,15493889,15567107,15654192,15760225,15863950,15987075,16105285,16258032,16305526,16334210,16357992,16405399,16485787,16574989,16655799,16730348,16779575,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17590672
AT,7644818,7710882,7798899,7882519,7928746,7943489,7953067,7964966,7971116,7982461,8002186,8020946,8063640,8142573,8201359,8254298,8282984,8307989,8335003,8351643,8375164,8408121,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929
PL,38038403,38183160,38309226,38418108,38504707,38580597,38609399,38639341,38659979,38666983,38263303,38253955,38242197,38190608,38173835,38157055,38125479,38115641,38135876,38022869,38062718,38063792,38062535,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37840001,37654247
PT,9995995,9970441,9950029,9954958,9974391,10008659,10043693,10084196,10133758,10186634,10249022,10330774,10394669,10473050,10494672,10511988,10532588,10553339,10563014,10573479,10572721,10542398,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10295909,10298252,10352042
RO,23211395,23192274,22810035,22778533,22748027,22712394,22656145,22581862,22526093,22488595,22455485,22430457,21833483,21521142,21382354,21257016,21130503,20635460,20440290,20294683,20199059,20095996,20020074,19947311,19870647,19760585,19643949,19533481,19414458,19328838,19201662,19038098
SI,1996377,1999945,1998912,1994084,1989408,1989477,1990266,1986989,1984923,1978334,1987755,1990094,1994026,1996433,1997590,2003358,2010377,2010269,2032362,2046976,2050189,2055496,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180
SK,5287663,5310711,5295877,5314155,5336455,5356207,5367790,5378932,5387650,5393382,5398657,5378783,5378951,5371875,5372685,5372928,5373180,5376064,5382401,5390410,5392446,5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712
FI,4974383,4998478,5029002,5054982,5077912,5098754,5116826,5132320,5147349,5159646,5171302,5181115,5194901,5219732,5236611,5255580,5276955,5300484,5326314,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241
SE,8527039,8590630,8644120,8692013,8745109,8816381,8837496,8844499,8847625,8854322,8861426,8882792,8909128,8975670,9011392,9047752,9113257,9182927,9256347,9340682,9415570,9482855,9555893,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10452326
NO,4233116,4249830,4273634,4299167,4324815,4348410,4369957,4392714,4417599,4445329,4478497,4503436,4524066,4577457,4606363,4640219,4681134,4737171,4799252,4858199,4920305,4985870,5051275,5107970,5166493,5210721,5258317,5295619,5328212,5367580,5391369,5425270
CH,6673850,6757188,6842768,6907959,6968570,7019019,7062354,7081346,7096465,7123537,7164444,7204055,7255653,7364148,7415102,7459128,7508739,7593494,7701856,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8419550,8484130,8544527,8606033,8670300,8736510
GB,57156972,57338199,57511594,57649210,57788017,57943472,58094587,58239312,58394596,58579685,58785246,58999781,59239564,59793759,60182050,60620361,61073279,61571647,62042343,62510197,63022532,63495088,63905342,64351203,64853393,65379044,65844142,66273576,66647112,67025542,67281039,67508936
